Voivodeship,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Małopolskie,5,5,5,6,6,7,7,7,8,8,9,9,9,10
Mazowieckie,10,10,11,11,12,12,13,13,13,14,14,15,15,16
Śląskie,15,15,15,16,16,16,17,17,18,18,18,19,19,20
Dolnośląskie,8,8,8,9,9,10,10,10,11,11,11,12,12,13
Wielkopolskie,7,7,8,8,9,9,10,10,10,11,11,12,12,13
Pomorskie,4,4,4,5,5,5,6,6,6,7,7,8,8,9
Zachodniopomorskie,3,3,4,4,4,5,5,5,6,6,6,7,7,8
Lubuskie,4,4,4,5,5,5,6,6,6,7,7,8,8,9
Łódzkie,6,6,7,7,7,8,8,8,9,9,9,10,10,11
Lubelskie,5,5,6,6,6,7,7,7,8,8,8,9,9,10
Podkarpackie,4,4,5,5,5,6,6,6,7,7,7,8,8,9
Świętokrzyskie,3,3,3,4,4,4,5,5,5,6,6,7,7,8
Podlaskie,2,2,2,3,3,3,4,4,4,5,5,6,6,7
Kujawsko-Pomorskie,4,4,5,5,5,6,6,6,7,7,7,8,8,9
Warmińsko-Mazurskie,3,3,4,4,4,5,5,5,6,6,6,7,7,8
Opolskie,4,4,4,5,5,5,6,6,6,7,7,8,8,9
